"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
47127,2021,51.5,"Hotter"
47153,2021,49.3,"Hotter"
47157,2021,54.4,"Hotter"
47161,2021,51.4,"Hotter"
36059,2021,42.8,"Hotter"
36083,2021,34.7,"Hotter"
47011,2021,51.3,"Hotter"
47013,2021,46.5,"Hotter"
47017,2021,52,"Hotter"
47025,2021,45.8,"Hotter"
47049,2021,47.6,"Hotter"
47055,2021,50.9,"Hotter"
47077,2021,52.9,"Hotter"
47091,2021,45,"Hotter"
47103,2021,51.6,"Hotter"
47105,2021,50.4,"Hotter"
47111,2021,49.9,"Hotter"
47117,2021,51,"Hotter"
47147,2021,49.4,"Hotter"
47177,2021,50.2,"Hotter"
36075,2021,34.4,"Hotter"
36079,2021,37,"Hotter"
47003,2021,51.4,"Hotter"
47007,2021,48.5,"Hotter"
47019,2021,46.2,"Hotter"
47045,2021,51.2,"Hotter"
47071,2021,54.1,"Hotter"
47079,2021,51.3,"Hotter"
47093,2021,49.6,"Hotter"
47097,2021,52,"Hotter"
47165,2021,50.5,"Hotter"
47167,2021,53.1,"Hotter"
47183,2021,51.1,"Hotter"
36053,2021,33.4,"Hotter"
36091,2021,33.3,"Hotter"
36103,2021,41.4,"Hotter"
36121,2021,34.5,"Hotter"
47009,2021,49.9,"Hotter"
47065,2021,51.1,"Hotter"
47069,2021,53.2,"Hotter"
47075,2021,52.3,"Hotter"
47081,2021,51.3,"Hotter"
47123,2021,49.9,"Hotter"
47125,2021,49.6,"Hotter"
47155,2021,48.2,"Hotter"
47159,2021,50.4,"Hotter"
47181,2021,53.1,"Hotter"
36029,2021,36.6,"Hotter"
36051,2021,69.6,"Hotter"
36061,2021,43.6,"Hotter"
36063,2021,36.7,"Hotter"
36067,2021,35.5,"Hotter"
36075,2021,68.5,"Hotter"
47023,2021,53.3,"Hotter"
47029,2021,48.7,"Hotter"
47047,2021,53.6,"Hotter"
47067,2021,46.2,"Hotter"
47083,2021,50.9,"Hotter"
47085,2021,51.3,"Hotter"
47101,2021,52,"Hotter"
47107,2021,50.8,"Hotter"
47131,2021,50.6,"Hotter"
47135,2021,52.7,"Hotter"
47137,2021,48.8,"Hotter"
47141,2021,49.5,"Hotter"
47151,2021,46.6,"Hotter"
47171,2021,45.8,"Hotter"
36027,2021,70.6,"Hotter"
36027,2021,36.4,"Hotter"
36055,2021,36.8,"Hotter"
36073,2021,36.7,"Hotter"
36081,2021,43.5,"Hotter"
36085,2021,43.4,"Hotter"
36117,2021,36.4,"Hotter"
36119,2021,39.4,"Hotter"
47001,2021,48.3,"Hotter"
47005,2021,51.9,"Hotter"
47021,2021,50,"Hotter"
47027,2021,50.1,"Hotter"
47039,2021,53.3,"Hotter"
47043,2021,50,"Hotter"
47095,2021,50.6,"Hotter"
47129,2021,47.8,"Hotter"
47143,2021,49.4,"Hotter"
47149,2021,51.8,"Hotter"
47169,2021,50.8,"Hotter"
47173,2021,47.3,"Hotter"
47175,2021,48.5,"Hotter"
55011,2021,72.6,"Hotter"
55017,2021,70.5,"Hotter"
55121,2021,72.4,"Hotter"
6087,2020,64.4,"Hotter"
55093,2021,72.5,"Hotter"
